Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
RL1,-0.12845988574494,-0.0040482702173239,0.0225620718217156,0,0,0,184.045000703749,6.76503431022355,-0.0457434022888701,0.5145912773004,7.97145218183556,0.0383922185966739,7.5357686897527,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL1.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL1.STL,,대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사Joint_one_BL_R5-1;대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사Shaft_1-1,좌표계31,기준축31,RLJ1,revolute,-1.51,0.9125,0.2,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
RL2,-0.588774137911628,0.0408511085688625,-0.00878490009047117,0,0,0,36.5845458368152,1.0087105677874,0.0947398441532105,0.263965807523487,7.61553593486857,0.0240436699181853,7.61601085721197,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL2.STL,,대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사어셈블리6^Assy Leg_R6_FR-1,좌표계33,기준축33,RLJ2,revolute,-0.3,0.0015,-0.11,1.5708,0,0,RL1,0,0,-1,0,0,0,0,,,,,,,,
RL3,-0.00356383701772245,-0.427150481599803,-0.0168595528381908,0,0,0,22.9329517084689,2.16226834073721,0.0522323144372041,1.27484774867109E-18,0.164045827211879,7.64652536413925E-17,2.13893902934876,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL3.STL,,대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사어셈블리4^Assy Leg_R6_FR22-1,좌표계35,기준축35,RLJ3,revolute,-1.4,0,0.0115,0,0,0,RL2,0,0,-1,0,0,0,0,,,,,,,,
RL4_1,-3.10862446895044E-14,-1.38888900380607E-13,-0.0186633611012671,0,0,0,16.5024333560923,0.244638564571836,5.25453712455653E-18,1.09936871250377E-17,0.244638564571836,2.38948860595821E-17,0.0139877069681215,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL4_1.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL4_1.STL,,대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사Shaft_2-1,좌표계37,기준축37,RLJ4_1,revolute,0,-1,0,0,0,0,RL3,0,0,1,0,0,0,0,,,,,,,,
RL4_2,-0.0359094476098796,-0.125594428058867,-0.0100000475769014,0,0,0,69.3567505547063,1.77952065529542,0.0294501237029603,-7.67285133522601E-08,2.57650385886908,-1.5035821884041E-07,1.23222409507826,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL4_2.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL4_2.STL,,대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사선회 플레이트-1;대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사WEA12-1,좌표계37,기준축37,RLJ4_2,revolute,0,0,0,0,0,0,RL4_1,0,0,1,0,0,0,0,,,,,,,,
RL4,2.722708547509E-08,0.149455972163335,-0.222790467699517,0,0,0,146.802128142842,7.2564845574702,1.19950434607309E-05,-1.42933783501239E-05,6.20788937348672,0.917764733776505,8.18964062902728,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL4.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL4.STL,,대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사H_Wheel_Assy-1/대칭 복사대칭 복사Wheel Mount_3-1;대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사H_Wheel_Assy-1/대칭 복사대칭 복사wheel cover-1,좌표계39,기준축39,RLJ4,revolute,0,-0.201,-0.01,-1.5708,0,0,RL4_2,0,0,1,0,0,0,0,,,,,,,,
RL5,1.27626266444025E-07,4.24790160313826E-06,-0.557817319013973,0,0,0,436.427864998985,58.7367826434384,0.000341396061247056,4.56285275999694E-05,58.7374588934677,0.000628375299781489,104.578444128481,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL5.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RL5.STL,,대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사H_Wheel_Assy-1/대칭 복사대칭 복사H_Wheel_R1-1;대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사H_Wheel_Assy-1/대칭 복사대칭 복사HTM10-1,좌표계40,기준축40,RLJ5,continuous,0,0,-0.231,1.5708,0,0,RL4,0,0,-1,,,,,,,,,,,,
RLB0,-0.0806347311700857,0.0873713905320295,-0.010000000000017,0,0,0,21.7247820620153,0.192847221143694,0.000680393657359611,-3.49124079600806E-19,0.10723046509661,-1.44031369638629E-19,0.29862936743617,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RLB0.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RLB0.STL,,대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사삼각링크-2;대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사삼각링크-1,좌표계35,기준축35,RLBJ0,revolute,-1.4,0,0.0115,0,0,0,RL2,0,0,-1,0,0,0,0,,,,,,,,
RLB2,-3.99680288865056E-15,2.15105711021124E-15,-0.00878957266543112,0,0,0,1.79252951740625,0.00072944465306636,1.32696300079413E-19,1.45463286235568E-20,0.00072944465306636,1.16138449218761E-20,0.00112765869619503,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RLB2.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RLB2.STL,,대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사Shaft_3-2;대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사Shaft_3-1,좌표계36,기준축36,RLBJ2,revolute,-0.18,0,-0.0012104,0,0,0,RLB0,0,0,1,0,0,0,0,,,,,,,,
RLB3,-1.28785870856518E-14,-0.532590958718293,-0.00878957266543046,0,0,0,3.50323706641283,0.330577290856633,-3.27429056090624E-17,-1.45238383624762E-18,0.00622995155935606,-1.16059395641601E-17,0.336710465944545,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RLB3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RLB3.STL,,대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사어셈블리5^Assy Leg_R6_FR-1;대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사어셈블리5^Assy Leg_R6_FR-2,좌표계36,기준축36,RLBJ3,revolute,0,0,0,0,0,0,RLB2,0,0,1,0,0,0,0,,,,,,,,
RLB1,-0.700000000000003,1.27675647831893E-15,0.00100000000000289,0,0,0,3.64822195764986,0.00344957432771757,-3.48417254124996E-19,-5.63402337306813E-20,0.56426991187024,5.63087562739449E-21,0.567581904124655,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RLB1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assy_Concept_whole/meshes/RLB1.STL,,대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사어셈블리3^Assy Leg_R6_FR-1;대칭 복사대칭 복사Assy Leg_R6_FR-3/대칭 복사대칭 복사어셈블리3^Assy Leg_R6_FR-2,좌표계32,기준축32,RLBJ1,revolute,-0.38,0.001,0.14,1.5708,0,0,RL1,0,0,1,0,0,0,0,,,,,,,,
